"Timestamp","TZ","IOKI 1 (A)","IOKI 1_AV (A)","IOKI 1_MN (A)","IOKI 1_MX (A)","IOKI 1_SD (A)","IOKI 1_NUM (A)","IOKI 1_INT (A)","IOKI 1_IMN (A)","IOKI 1_IMX (A)","IOKI 2 (A)","IOKI 2_AV (A)","IOKI 2_MN (A)","IOKI 2_MX (A)","IOKI 2_SD (A)","IOKI 2_NUM (A)","IOKI 2_INT (A)","IOKI 2_IMN (A)","IOKI 2_IMX (A)","K-type (degC)","K-type_AV (degC)","K-type_MN (degC)","K-type_MX (degC)","K-type_SD (degC)","K-type_NUM (degC)","K-type_INT (degC)","K-type_IMN (degC)","K-type_IMX (degC)"
2025/01/31 01:20:10.228,n,-0.36359,-0.363891,-0.364658,-0.362789,0.000587,10,-3.635891,2025/01/31 01:20:07.002,2025/01/31 01:20:03.009,-0.229618,-0.228743,-0.229885,-0.22794,0.000676,10,-2.285219,2025/01/31 01:20:09.008,2025/01/31 01:20:03.009,3.150482,3.128109,2.999074,3.211416,0.088422,10,31.186912,2025/01/31 01:20:09.008,2025/01/31 01:20:05.003
2025/01/31 01:20:20.231,n,-0.363857,-0.363927,-0.364922,-0.362968,0.000575,10,-3.639095,2025/01/31 01:20:17.002,2025/01/31 01:20:16.103,-0.229973,-0.228628,-0.229973,-0.227497,0.000776,10,-2.286107,2025/01/31 01:20:20.002,2025/01/31 01:20:19.010,3.222271,3.126209,2.980316,3.244539,0.096262,10,31.218952,2025/01/31 01:20:12.007,2025/01/31 01:20:17.002
2025/01/31 01:20:30.235,n,-0.365101,-0.363839,-0.365101,-0.362701,0.000935,10,-3.637864,2025/01/31 01:20:30.002,2025/01/31 01:20:23.002,-0.227055,-0.228071,-0.229618,-0.226345,0.000973,10,-2.282138,2025/01/31 01:20:29.002,2025/01/31 01:20:23.002,3.156038,3.114886,2.978101,3.204801,0.0892,10,31.197484,2025/01/31 01:20:25.009,2025/01/31 01:20:23.002
2025/01/31 01:20:40.237,n,-0.363945,-0.364043,-0.365189,-0.362434,0.000719,10,-3.64212,2025/01/31 01:20:39.002,2025/01/31 01:20:31.008,-0.228645,-0.228399,-0.22953,-0.227142,0.000785,10,-2.283892,2025/01/31 01:20:33.002,2025/01/31 01:20:31.008,3.115189,3.090411,2.973493,3.192503,0.08502,10,30.933884,2025/01/31 01:20:38.011,2025/01/31 01:20:39.002
2025/01/31 01:20:50.243,n,-0.364746,-0.363794,-0.365456,-0.362255,0.001042,10,-3.638623,2025/01/31 01:20:43.006,2025/01/31 01:20:45.002,-0.228382,-0.228585,-0.229267,-0.22794,0.000415,10,-2.286652,2025/01/31 01:20:48.002,2025/01/31 01:20:41.010,3.02337,3.118276,2.978116,3.235709,0.100159,10,31.237946,2025/01/31 01:20:44.010,2025/01/31 01:20:48.002
2025/01/31 01:21:00.243,n,-0.364658,-0.364283,-0.365189,-0.363323,0.000564,10,-3.644173,2025/01/31 01:20:51.002,2025/01/31 01:20:56.007,-0.229176,-0.228699,-0.230061,-0.22723,0.001036,10,-2.287458,2025/01/31 01:20:52.002,2025/01/31 01:20:59.007,3.062021,3.145057,3.036618,3.236849,0.076253,10,31.445512,2025/01/31 01:20:53.007,2025/01/31 01:20:58.002
2025/01/31 01:21:10.230,n,-0.364479,-0.363918,-0.364746,-0.363232,0.000587,10,-3.635873,2025/01/31 01:21:04.002,2025/01/31 01:21:02.006,-0.228203,-0.228451,-0.22953,-0.227406,0.000759,10,-2.282919,2025/01/31 01:21:08.004,2025/01/31 01:21:06.249,3.177215,3.197354,3.055423,3.257801,0.074464,10,31.890214,2025/01/31 01:21:03.011,2025/01/31 01:21:04.002
2025/01/31 01:21:20.233,n,-0.364388,-0.364194,-0.365543,-0.363144,0.000737,10,-3.642217,2025/01/31 01:21:11.003,2025/01/31 01:21:13.002,-0.228027,-0.228593,-0.230328,-0.226521,0.001067,10,-2.286159,2025/01/31 01:21:11.003,2025/01/31 01:21:12.011,3.213455,3.153367,3.05783,3.241265,0.069396,10,31.518994,2025/01/31 01:21:16.002,2025/01/31 01:21:11.003
2025/01/31 01:21:30.237,n,-0.36412,-0.36462,-0.365543,-0.362968,0.000772,10,-3.64735,2025/01/31 01:21:27.005,2025/01/31 01:21:22.002,-0.227848,-0.228619,-0.230503,-0.227142,0.000888,10,-2.286913,2025/01/31 01:21:26.002,2025/01/31 01:21:21.006,3.218096,3.13611,3.024511,3.228018,0.091239,10,31.367426,2025/01/31 01:21:21.006,2025/01/31 01:21:29.002
2025/01/31 01:21:40.239,n,-0.364567,-0.36454,-0.365189,-0.364033,0.000431,10,-3.645685,2025/01/31 01:21:36.002,2025/01/31 01:21:31.009,-0.229797,-0.228505,-0.229797,-0.22617,0.001045,10,-2.28451,2025/01/31 01:21:40.007,2025/01/31 01:21:38.002,3.214787,3.18624,3.047922,3.267756,0.073224,10,31.871808,2025/01/31 01:21:31.009,2025/01/31 01:21:32.002
2025/01/31 01:21:50.243,n,-0.36412,-0.364585,-0.365368,-0.36412,0.000382,10,-3.647132,2025/01/31 01:21:45.223,2025/01/31 01:21:50.010,-0.229,-0.22877,-0.230682,-0.227497,0.000949,10,-2.288476,2025/01/31 01:21:46.006,2025/01/31 01:21:42.002,3.199358,3.137086,3.01587,3.228034,0.091988,10,31.367832,2025/01/31 01:21:41.002,2025/01/31 01:21:46.006
2025/01/31 01:22:00.229,n,-0.364033,-0.364318,-0.365101,-0.363411,0.00046,10,-3.640249,2025/01/31 01:21:58.003,2025/01/31 01:21:51.002,-0.229885,-0.228912,-0.229885,-0.227673,0.000755,10,-2.286799,2025/01/31 01:21:58.003,2025/01/31 01:21:52.004,3.063355,3.116737,3.031334,3.233557,0.084985,10,31.210078,2025/01/31 01:21:51.002,2025/01/31 01:21:56.009
2025/01/31 01:22:10.233,n,-0.364658,-0.364167,-0.365009,-0.363232,0.00063,10,-3.641261,2025/01/31 01:22:03.002,2025/01/31 01:22:04.002,-0.227318,-0.228841,-0.230328,-0.227318,0.000884,10,-2.289638,2025/01/31 01:22:09.011,2025/01/31 01:22:10.002,3.061154,3.120358,3.035558,3.247927,0.079582,10,31.20312,2025/01/31 01:22:01.002,2025/01/31 01:22:09.011
2025/01/31 01:22:20.236,n,-0.365898,-0.364744,-0.365898,-0.363323,0.000789,10,-3.647287,2025/01/31 01:22:20.003,2025/01/31 01:22:11.006,-0.229176,-0.228885,-0.229355,-0.22776,0.000467,10,-2.288242,2025/01/31 01:22:15.010,2025/01/31 01:22:14.005,3.033552,3.115946,3.033552,3.264465,0.087385,10,31.183528,2025/01/31 01:22:20.003,2025/01/31 01:22:12.011
2025/01/31 01:22:30.238,n,-0.363945,-0.364318,-0.365635,-0.363232,0.000869,10,-3.645565,2025/01/31 01:22:28.002,2025/01/31 01:22:23.003,-0.228912,-0.229399,-0.231125,-0.228115,0.000935,10,-2.295019,2025/01/31 01:22:27.007,2025/01/31 01:22:29.002,3.011471,3.140937,3.011471,3.239098,0.086336,10,31.422848,2025/01/31 01:22:30.007,2025/01/31 01:22:22.002
2025/01/31 01:22:40.243,n,-0.363678,-0.36438,-0.366077,-0.362968,0.000997,10,-3.645258,2025/01/31 01:22:32.002,2025/01/31 01:22:36.005,-0.228382,-0.228682,-0.229885,-0.22776,0.000651,10,-2.287997,2025/01/31 01:22:34.011,2025/01/31 01:22:33.006,3.011312,3.111836,3.007971,3.219205,0.081211,10,31.110728,2025/01/31 01:22:37.011,2025/01/31 01:22:38.002
2025/01/31 01:22:50.229,n,-0.364388,-0.364496,-0.365723,-0.36359,0.00062,10,-3.641723,2025/01/31 01:22:45.003,2025/01/31 01:22:43.009,-0.230061,-0.229213,-0.230152,-0.227848,0.000676,10,-2.289463,2025/01/31 01:22:41.002,2025/01/31 01:22:43.009,3.008162,3.142198,3.008162,3.235759,0.085789,10,31.400398,2025/01/31 01:22:50.002,2025/01/31 01:22:48.003
2025/01/31 01:23:00.231,n,-0.36359,-0.364328,-0.365101,-0.36359,0.000515,10,-3.643736,2025/01/31 01:22:55.006,2025/01/31 01:23:00.002,-0.227142,-0.228602,-0.230503,-0.227142,0.001039,10,-2.287516,2025/01/31 01:22:58.005,2025/01/31 01:23:00.002,3.00927,3.147939,2.992731,3.228068,0.09346,10,31.481462,2025/01/31 01:22:53.013,2025/01/31 01:22:55.006
2025/01/31 01:23:10.235,n,-0.364033,-0.364077,-0.364746,-0.363232,0.000415,10,-3.640643,2025/01/31 01:23:05.010,2025/01/31 01:23:09.002,-0.229443,-0.228912,-0.229797,-0.227848,0.000671,10,-2.288005,2025/01/31 01:23:07.007,2025/01/31 01:23:06.002,3.002638,3.100964,2.973782,3.207066,0.093097,10,31.016992,2025/01/31 01:23:06.002,2025/01/31 01:23:03.057
2025/01/31 01:23:20.238,n,-0.363945,-0.364415,-0.365986,-0.363678,0.0007,10,-3.645141,2025/01/31 01:23:15.013,2025/01/31 01:23:13.002,-0.228645,-0.228947,-0.230328,-0.227848,0.000776,10,-2.290742,2025/01/31 01:23:17.007,2025/01/31 01:23:11.008,2.978198,3.05051,2.9627,3.187188,0.089214,10,30.507768,2025/01/31 01:23:16.002,2025/01/31 01:23:18.012
2025/01/31 01:23:30.240,n,-0.363323,-0.364104,-0.365456,-0.363232,0.000691,10,-3.642279,2025/01/31 01:23:28.002,2025/01/31 01:23:21.011,-0.229176,-0.22884,-0.229885,-0.22776,0.000755,10,-2.288716,2025/01/31 01:23:21.011,2025/01/31 01:23:27.009,2.980558,3.054639,2.968226,3.151913,0.084299,10,30.55158,2025/01/31 01:23:23.005,2025/01/31 01:23:25.002
2025/01/31 01:23:40.244,n,-0.364033,-0.364389,-0.365009,-0.36359,0.000502,10,-3.645347,2025/01/31 01:23:31.034,2025/01/31 01:23:32.002,-0.229,-0.228938,-0.229885,-0.228027,0.000614,10,-2.290604,2025/01/31 01:23:34.002,2025/01/31 01:23:36.007,2.975949,3.068906,2.938419,3.156136,0.088475,10,30.705694,2025/01/31 01:23:33.010,2025/01/31 01:23:38.002
2025/01/31 01:23:50.230,n,-0.363503,-0.364354,-0.365101,-0.363503,0.000587,10,-3.639751,2025/01/31 01:23:45.005,2025/01/31 01:23:50.002,-0.228382,-0.228788,-0.229797,-0.227848,0.000641,10,-2.285731,2025/01/31 01:23:46.010,2025/01/31 01:23:44.002,2.960501,3.050984,2.940653,3.139758,0.082936,10,30.473386,2025/01/31 01:23:47.002,2025/01/31 01:23:42.202
2025/01/31 01:24:00.234,n,-0.364479,-0.364265,-0.364922,-0.362347,0.000869,10,-3.64225,2025/01/31 01:23:55.008,2025/01/31 01:23:54.003,-0.227318,-0.228734,-0.229797,-0.227318,0.000793,10,-2.287803,2025/01/31 01:23:56.002,2025/01/31 01:24:00.002,2.946177,3.050643,2.946177,3.156136,0.087719,10,30.53776,2025/01/31 01:24:00.002,2025/01/31 01:23:52.009
2025/01/31 01:24:10.237,n,-0.363857,-0.36479,-0.366165,-0.363503,0.000942,10,-3.65073,2025/01/31 01:24:06.002,2025/01/31 01:24:07.005,-0.228203,-0.228964,-0.230152,-0.228203,0.000641,10,-2.290779,2025/01/31 01:24:03.002,2025/01/31 01:24:10.009,3.084567,3.030113,2.930728,3.128502,0.083668,10,30.251174,2025/01/31 01:24:04.006,2025/01/31 01:24:06.002
