"Timestamp","TZ","IOKI 1 (A)","IOKI 1_AV (A)","IOKI 1_MN (A)","IOKI 1_MX (A)","IOKI 1_SD (A)","IOKI 1_NUM (A)","IOKI 1_INT (A)","IOKI 1_IMN (A)","IOKI 1_IMX (A)","IOKI 2 (A)","IOKI 2_AV (A)","IOKI 2_MN (A)","IOKI 2_MX (A)","IOKI 2_SD (A)","IOKI 2_NUM (A)","IOKI 2_INT (A)","IOKI 2_IMN (A)","IOKI 2_IMX (A)","K-type (degC)","K-type_AV (degC)","K-type_MN (degC)","K-type_MX (degC)","K-type_SD (degC)","K-type_NUM (degC)","K-type_INT (degC)","K-type_IMN (degC)","K-type_IMX (degC)"
2025/01/31 10:55:00.268,n,35.949372,35.330376,32.551422,37.413848,1.378743,10,352.78096,2025/01/31 10:54:53.002,2025/01/31 10:54:51.013,34.753392,35.953,34.38086,38.209996,1.227665,10,359.79496,2025/01/31 10:54:56.006,2025/01/31 10:54:59.005,8.433246,8.4593,8.399198,8.49699,0.030592,10,84.623792,2025/01/31 10:54:51.013,2025/01/31 10:54:55.015
2025/01/31 10:55:10.581,n,32.729038,34.560776,32.729038,36.600676,1.392136,10,348.6328,2025/01/31 10:55:10.053,2025/01/31 10:55:05.032,33.689092,35.451196,33.0271,38.128912,1.639128,10,356.601,2025/01/31 10:55:07.002,2025/01/31 10:55:09.011,8.414564,8.43302,8.406856,8.453008,0.014731,10,84.698304,2025/01/31 10:55:08.004,2025/01/31 10:55:02.014
2025/01/31 10:55:20.241,n,35.330328,33.999336,32.244446,36.132812,1.396649,10,337.2216,2025/01/31 10:55:17.002,2025/01/31 10:55:11.010,36.3689,35.647072,33.6084,37.287812,1.215987,10,353.39616,2025/01/31 10:55:11.010,2025/01/31 10:55:13.034,8.371667,8.375391,8.338647,8.426638,0.022999,10,83.350776,2025/01/31 10:55:19.015,2025/01/31 10:55:11.010
2025/01/31 10:55:30.240,n,35.496252,35.96898,33.457614,38.730256,1.640617,10,359.6888,2025/01/31 10:55:27.006,2025/01/31 10:55:24.005,34.349032,35.384592,33.155578,37.592528,1.393928,10,354.94664,2025/01/31 10:55:22.011,2025/01/31 10:55:27.006,8.383754,8.367361,8.304578,8.417842,0.032734,10,83.687216,2025/01/31 10:55:26.002,2025/01/31 10:55:22.011
2025/01/31 10:55:40.242,n,35.437504,34.993604,33.582032,37.362672,1.164712,10,350.14316,2025/01/31 10:55:33.006,2025/01/31 10:55:34.009,31.722476,35.205016,31.722476,37.439852,1.652249,10,353.51552,2025/01/31 10:55:40.009,2025/01/31 10:55:32.015,8.357363,8.347476,8.329849,8.365039,0.012215,10,83.52668,2025/01/31 10:55:37.008,2025/01/31 10:55:36.006
2025/01/31 10:55:50.245,n,34.550932,35.622232,32.3447,38.010712,1.860914,10,356.72412,2025/01/31 10:55:45.003,2025/01/31 10:55:41.014,34.52234,34.597308,32.916076,36.180212,1.141184,10,344.623,2025/01/31 10:55:41.014,2025/01/31 10:55:46.006,8.391442,8.409056,8.348612,8.460712,0.038362,10,84.086152,2025/01/31 10:55:49.005,2025/01/31 10:55:44.014
2025/01/31 10:56:00.250,n,36.87592,35.786612,33.308654,37.376068,1.405594,10,356.8928,2025/01/31 10:55:56.072,2025/01/31 10:55:52.006,34.14688,34.233636,32.57782,37.752136,1.573675,10,342.71828,2025/01/31 10:55:52.006,2025/01/31 10:55:54.016,8.451978,8.406212,8.371713,8.451978,0.020995,10,84.067608,2025/01/31 10:55:52.006,2025/01/31 10:56:00.015
2025/01/31 10:56:10.235,n,36.536528,35.172028,32.53537,37.588592,1.725366,10,351.73824,2025/01/31 10:56:04.002,2025/01/31 10:56:05.006,34.786684,35.029672,33.784092,36.646608,0.899822,10,349.52124,2025/01/31 10:56:05.006,2025/01/31 10:56:09.011,8.637724,8.5821,8.52561,8.637724,0.029692,10,85.612816,2025/01/31 10:56:01.166,2025/01/31 10:56:10.003
2025/01/31 10:56:20.241,n,35.364472,36.170704,35.013124,38.517492,1.095188,10,362.5024,2025/01/31 10:56:13.002,2025/01/31 10:56:15.010,37.035432,35.111732,31.79935,38.3595,2.317539,10,349.1826,2025/01/31 10:56:16.017,2025/01/31 10:56:18.009,8.5476,8.591556,8.520102,8.657544,0.044728,10,85.977736,2025/01/31 10:56:19.015,2025/01/31 10:56:11.008
2025/01/31 10:56:30.244,n,35.581084,35.949088,34.782716,39.126772,1.298495,10,359.46844,2025/01/31 10:56:26.002,2025/01/31 10:56:29.005,34.849368,35.614268,32.723454,38.867496,1.755695,10,357.37048,2025/01/31 10:56:29.005,2025/01/31 10:56:21.009,8.581482,8.542828,8.488206,8.592716,0.043963,10,85.435224,2025/01/31 10:56:22.014,2025/01/31 10:56:27.007
2025/01/31 10:56:40.443,n,35.329532,35.203244,32.305424,38.774204,1.989147,10,357.3596,2025/01/31 10:56:33.005,2025/01/31 10:56:34.012,34.641452,34.876288,33.020726,36.96042,1.437349,10,354.0348,2025/01/31 10:56:31.011,2025/01/31 10:56:37.027,8.561932,8.58123,8.554178,8.603684,0.017662,10,87.100792,2025/01/31 10:56:39.005,2025/01/31 10:56:31.011
2025/01/31 10:56:50.251,n,34.295716,35.603948,33.277592,38.952912,1.684862,10,351.49204,2025/01/31 10:56:45.003,2025/01/31 10:56:48.002,32.451294,34.47686,32.451294,37.596468,1.711792,10,340.93396,2025/01/31 10:56:50.013,2025/01/31 10:56:47.014,8.591578,8.587694,8.575062,8.612478,0.012489,10,84.628104,2025/01/31 10:56:46.010,2025/01/31 10:56:45.003
2025/01/31 10:57:00.253,n,34.641452,35.542808,33.609984,38.511992,1.658738,10,355.3646,2025/01/31 10:56:57.025,2025/01/31 10:56:58.006,35.842528,34.72756,33.080566,36.019776,0.991774,10,345.69832,2025/01/31 10:56:52.008,2025/01/31 10:56:51.002,8.55306,8.586356,8.55306,8.619962,0.026812,10,85.912808,2025/01/31 10:57:00.016,2025/01/31 10:56:54.002
2025/01/31 10:57:10.238,n,36.498536,35.496588,33.52127,36.498536,0.937963,10,353.88768,2025/01/31 10:57:02.010,2025/01/31 10:57:10.008,34.515168,34.947436,33.315826,38.453828,1.469119,10,349.87652,2025/01/31 10:57:09.018,2025/01/31 10:57:06.015,8.52338,8.52758,8.511326,8.559704,0.013532,10,85.21956,2025/01/31 10:57:05.010,2025/01/31 10:57:03.016
2025/01/31 10:57:20.239,n,32.561832,35.679608,32.561832,38.216312,2.036052,10,358.55812,2025/01/31 10:57:20.003,2025/01/31 10:57:13.002,34.21616,34.891604,32.35431,37.815768,1.731487,10,348.87836,2025/01/31 10:57:17.007,2025/01/31 10:57:11.008,8.533316,8.532094,8.506928,8.559704,0.015841,10,85.271464,2025/01/31 10:57:19.002,2025/01/31 10:57:14.008
2025/01/31 10:57:30.441,n,34.22174,35.279824,33.721044,37.08988,1.141041,10,352.17552,2025/01/31 10:57:26.006,2025/01/31 10:57:24.010,37.895084,35.1459,32.573028,37.895084,1.962512,10,349.85996,2025/01/31 10:57:26.006,2025/01/31 10:57:30.009,8.466216,8.48712,8.465174,8.520102,0.019488,10,84.954592,2025/01/31 10:57:27.010,2025/01/31 10:57:21.013
2025/01/31 10:57:40.254,n,35.424804,35.757396,34.728792,37.025944,0.662994,10,357.10588,2025/01/31 10:57:35.004,2025/01/31 10:57:39.009,33.86472,34.618948,32.460086,36.336516,1.139233,10,348.3112,2025/01/31 10:57:34.014,2025/01/31 10:57:37.017,8.50253,8.526454,8.486026,8.570664,0.024842,10,85.281128,2025/01/31 10:57:39.009,2025/01/31 10:57:35.004
2025/01/31 10:57:50.250,n,32.529786,34.502564,32.529786,36.770784,1.37638,10,346.54872,2025/01/31 10:57:50.018,2025/01/31 10:57:48.005,35.426392,35.45582,32.56583,37.822052,1.809294,10,354.0326,2025/01/31 10:57:48.005,2025/01/31 10:57:41.005,8.508018,8.480848,8.445334,8.508018,0.018229,10,84.850384,2025/01/31 10:57:44.002,2025/01/31 10:57:50.018
2025/01/31 10:58:00.236,n,34.595428,34.77442,32.957642,36.829256,1.292087,10,345.93548,2025/01/31 10:57:57.004,2025/01/31 10:57:53.016,33.890228,34.644924,33.890228,36.698,0.868153,10,346.5066,2025/01/31 10:58:00.002,2025/01/31 10:57:51.004,8.492604,8.496022,8.45413,8.515724,0.018779,10,84.836768,2025/01/31 10:57:54.006,2025/01/31 10:57:51.004
2025/01/31 10:58:10.240,n,37.402836,35.511568,33.576448,38.487644,1.67485,10,353.84544,2025/01/31 10:58:01.007,2025/01/31 10:58:05.002,34.195468,34.554916,31.306154,37.696352,1.71578,10,345.57544,2025/01/31 10:58:05.002,2025/01/31 10:58:01.007,8.65179,8.522722,8.464034,8.65179,0.055549,10,85.183544,2025/01/31 10:58:05.002,2025/01/31 10:58:10.007
2025/01/31 10:58:20.244,n,34.616856,35.195108,33.614776,37.53354,1.104019,10,353.43352,2025/01/31 10:58:19.002,2025/01/31 10:58:14.002,34.32996,35.362376,33.705048,37.129364,1.482501,10,353.59496,2025/01/31 10:58:19.002,2025/01/31 10:58:11.011,8.61904,8.634626,8.580554,8.689404,0.039149,10,86.379136,2025/01/31 10:58:18.016,2025/01/31 10:58:13.003
2025/01/31 10:58:30.246,n,34.73752,34.835008,31.452272,38.445196,2.352876,10,348.06476,2025/01/31 10:58:26.136,2025/01/31 10:58:22.002,38.681612,35.090024,32.59061,38.681612,1.844162,10,349.02016,2025/01/31 10:58:29.006,2025/01/31 10:58:30.012,8.6892,8.63495,8.597052,8.6892,0.029115,10,86.338696,2025/01/31 10:58:25.002,2025/01/31 10:58:30.012
2025/01/31 10:58:40.251,n,33.726624,34.395032,31.946624,38.0036,1.914996,10,344.98284,2025/01/31 10:58:31.016,2025/01/31 10:58:36.010,36.908264,35.640208,34.263884,37.406804,1.052702,10,357.48476,2025/01/31 10:58:38.004,2025/01/31 10:58:32.005,8.611338,8.65888,8.611338,8.701508,0.032106,10,86.660024,2025/01/31 10:58:40.015,2025/01/31 10:58:31.016
