"Timestamp","TZ","IOKI 1 (A)","IOKI 1_AV (A)","IOKI 1_MN (A)","IOKI 1_MX (A)","IOKI 1_SD (A)","IOKI 1_NUM (A)","IOKI 1_INT (A)","IOKI 1_IMN (A)","IOKI 1_IMX (A)","IOKI 2 (mV)","IOKI 2_AV (mV)","IOKI 2_MN (mV)","IOKI 2_MX (mV)","IOKI 2_SD (mV)","IOKI 2_NUM (mV)","IOKI 2_INT (mV)","IOKI 2_IMN (mV)","IOKI 2_IMX (mV)","K-type (degC)","K-type_AV (degC)","K-type_MN (degC)","K-type_MX (degC)","K-type_SD (degC)","K-type_NUM (degC)","K-type_INT (degC)","K-type_IMN (degC)","K-type_IMX (degC)"
2025/01/31 09:04:30.239,n,34.37782,35.462984,31.535048,38.492472,1.903117,10,355.21104,2025/01/31 09:04:25.002,2025/01/31 09:04:26.002,35.33122,36.079536,34.146224,38.25734,1.354247,10,361.51268,2025/01/31 09:04:26.002,2025/01/31 09:04:25.002,6.790972,6.811452,6.790972,6.832803,0.013406,10,68.144904,2025/01/31 09:04:30.007,2025/01/31 09:04:24.002
2025/01/31 09:04:40.225,n,36.754252,35.967596,33.44194,38.847304,1.724391,10,358.3276,2025/01/31 09:04:39.006,2025/01/31 09:04:36.005,34.943924,35.649804,33.832072,38.038164,1.715717,10,356.48632,2025/01/31 09:04:33.006,2025/01/31 09:04:39.006,6.853712,6.825537,6.790954,6.853712,0.022628,10,68.191456,2025/01/31 09:04:34.002,2025/01/31 09:04:40.002
2025/01/31 09:04:50.230,n,36.257824,35.655724,33.603684,39.674756,1.746058,10,356.68196,2025/01/31 09:04:44.002,2025/01/31 09:04:41.002,34.62974,35.952964,33.500836,40.678572,2.198139,10,359.92592,2025/01/31 09:04:43.002,2025/01/31 09:04:44.002,6.803085,6.822126,6.796451,6.854821,0.019401,10,68.246408,2025/01/31 09:04:49.165,2025/01/31 09:04:42.004
2025/01/31 09:05:00.479,n,36.970808,35.48108,34.024308,38.143968,1.464422,10,363.51268,2025/01/31 09:04:52.002,2025/01/31 09:04:58.006,34.187632,35.974188,32.674786,39.75468,2.327327,10,369.26224,2025/01/31 09:04:52.002,2025/01/31 09:04:54.002,6.797573,6.800632,6.76326,6.832803,0.017372,10,69.733192,2025/01/31 09:04:58.006,2025/01/31 09:04:52.002
2025/01/31 09:05:10.240,n,38.203016,35.610792,33.580492,38.203016,1.362992,10,346.2492,2025/01/31 09:05:09.002,2025/01/31 09:05:10.003,32.864334,36.3108,32.864334,40.286424,2.194285,10,354.76056,2025/01/31 09:05:10.003,2025/01/31 09:05:04.004,6.809657,6.811441,6.772279,6.83275,0.017853,10,66.390252,2025/01/31 09:05:09.002,2025/01/31 09:05:08.002
2025/01/31 09:05:20.239,n,37.851364,36.143872,32.667584,39.333512,1.979688,10,361.71468,2025/01/31 09:05:16.002,2025/01/31 09:05:18.002,33.727524,35.988576,33.727524,38.549052,1.741609,10,359.56984,2025/01/31 09:05:20.006,2025/01/31 09:05:16.002,6.808569,6.834763,6.808569,6.859171,0.017176,10,68.369048,2025/01/31 09:05:20.006,2025/01/31 09:05:15.002
2025/01/31 09:05:30.224,n,36.647472,35.287772,32.437756,37.491988,1.924548,10,353.2444,2025/01/31 09:05:22.002,2025/01/31 09:05:25.002,35.470136,36.433204,35.251752,38.49168,1.092509,10,363.2766,2025/01/31 09:05:28.063,2025/01/31 09:05:29.004,6.848194,6.832015,6.808562,6.848194,0.0115,10,68.274528,2025/01/31 09:05:28.063,2025/01/31 09:05:30.002
2025/01/31 09:05:40.227,n,35.443956,35.02766,33.669176,36.602336,0.965721,10,350.9962,2025/01/31 09:05:32.011,2025/01/31 09:05:34.002,34.837688,36.326756,34.663128,37.984784,1.216611,10,363.78264,2025/01/31 09:05:39.219,2025/01/31 09:05:33.002,6.853693,6.83961,6.811893,6.853693,0.013902,10,68.392704,2025/01/31 09:05:32.011,2025/01/31 09:05:40.002
2025/01/31 09:05:50.337,n,35.159528,35.43212,32.610764,37.855268,1.632462,10,354.4494,2025/01/31 09:05:47.002,2025/01/31 09:05:45.006,35.670028,36.624464,34.652788,38.841016,1.343387,10,365.81096,2025/01/31 09:05:44.002,2025/01/31 09:05:41.002,6.828346,6.844125,6.828346,6.863589,0.011791,10,68.451384,2025/01/31 09:05:50.002,2025/01/31 09:05:49.002
2025/01/31 09:06:00.236,n,36.598368,36.3104,33.72108,38.453992,1.353044,10,362.3376,2025/01/31 09:05:52.002,2025/01/31 09:05:58.002,36.349408,36.252528,32.895488,39.007184,1.984013,10,362.26284,2025/01/31 09:05:59.002,2025/01/31 09:05:57.054,6.834984,6.848857,6.834984,6.863589,0.009021,10,68.486024,2025/01/31 09:06:00.002,2025/01/31 09:05:52.002
